CmV;Chi;Euc
0,9900193;0,9188052;0,9188052
1;0,5786001;0,7659315
0,9900193;0,9188052;0,7659315
1;0,2656871;0,9188052
0,9900193;0,5786001;0,9188052
0,9900193;0,9188052;0,9900193
1;0,9900193;0,9900193
0,9188052;0,7659315;0,9900193
0,9900193;0,5786001;0,9900193
0,9900193;0,9188052;0,9900193
0,7659315;0,9900193;0,9900193
1;0,5786001;0,9999246
0,7659315;0,9900193;0,9900193
1;0,9900193;0,9900193
1;0,5786001;0,9188052
0,7659315;0,7659315;0,9188052
0,7659315;0,9900193;0,9188052
0,7659315;0,7659315;0,9900193
0,5786001;0,7659315;0,9900193
0,9900193;0,9188052;0,9900193
0,7659315;0,9188052;0,9900193
1;0,9188052;0,9188052
0,7659315;0,9188052;0,9900193
1;0,9999246;0,9900193
1;0,5786001;0,9188052
0,5786001;0,9188052;0,9188052
0,9999246;0,9188052;0,9900193
1;0,9900193;0,9900193
0,7659315;0,9900193;0,9900193
1;0,9900193;0,9900193
1;0,9188052;0,9188052
0,9188052;0,7659315;0,9188052
0,9999246;0,9188052;0,9900193
0,9900193;0,9900193;0,9900193
0,9900193;0,9188052;0,9188052
0,9999246;0,9188052;0,9900193
0,7659315;0,9188052;0,9900193
0,9999246;0,9999246;0,9188052
0,9999246;0,9900193;0,9900193
0,9900193;0,7659315;0,9999246
1;0,9900193;0,9900193
0,9900193;0,9900193;0,9900193
1;0,9188052;0,9900193
0,9999246;0,7659315;0,9900193
1;0,9999246;0,9900193
1;0,7659315;0,9900193
0,7659315;0,9188052;0,9900193
1;0,9188052;0,9188052
0,9999246;0,5786001;0,9188052
1;0,9188052;0,9188052
1;0,9188052;0,9900193
0,9188052;0,9188052;0,9188052
0,9900193;0,9900193;0,9900193
0,9188052;0,9188052;0,9188052
0,9188052;0,9900193;0,9188052
1;0,9900193;0,9188052
1;0,7659315;0,9188052
0,9999246;0,9900193;0,9188052
0,7659315;0,9188052;0,9188052
0,9188052;0,9900193;0,9188052
0,7659315;0,9188052;0,9188052
1;0,9188052;0,9188052
1;0,7659315;0,9188052
0,2656871;0,4045874;0,9188052
0,7659315;0,9188052;0,7659315
0,9900193;0,5786001;0,9188052
0,9900193;0,5786001;0,9188052
0,9999246;0,7659315;0,9188052
0,7659315;0,9188052;0,5786001
0,9900193;0,9188052;0,9188052
0,7659315;0,7659315;0,9900193
1;0,9188052;0,9188052
0,9999246;0,9900193;0,7659315
0,2656871;0,9188052;0,9188052
0,9900193;0,9188052;0,9188052
0,9188052;0,5786001;0,9188052
0,1649727;0,7659315;0,9188052
0,9188052;0,9188052;0,9188052
0,7659315;0,5786001;0,9188052
0,7659315;0,9900193;0,7659315
1;0,9900193;0,9188052
1;0,9188052;0,9188052
0,2656871;0,9188052;0,9188052
1;0,9188052;0,9188052
0,9188052;0,7659315;0,7659315
0,7659315;0,7659315;0,9188052
0,5786001;0,9900193;0,5786001
0,4045874;0,7659315;0,7659315
0,9999246;0,7659315;0,7659315
0,2656871;0,9900193;0,9188052
0,5786001;0,9900193;0,7659315
0,9900193;0,9900193;0,9188052
0,5786001;0,7659315;0,9188052
0,4045874;0,9188052;0,9188052
1;0,9900193;0,9900193
0,2656871;0,9188052;0,9900193
0,9188052;0,7659315;0,9900193
0,5786001;0,9188052;0,9188052
0,9999246;0,5786001;0,7659315
0,9900193;0,9188052;0,9900193
0,9999246;0,9188052;0,9188052
0,9999246;0,7659315;0,9900193
1;0,9900193;0,9188052
0,9188052;0,7659315;0,9188052
0,7659315;0,5786001;0,9188052
0,4045874;0,7659315;0,9188052
1;0,5786001;0,9188052
0,4045874;0,7659315;0,7659315
0,9188052;0,9188052;0,9900193
0,5786001;0,9188052;0,9188052
1;0,9188052;0,9188052
0,9999246;0,5786001;0,9900193
0,5786001;0,9900193;0,9900193
0,7659315;0,5786001;0,9188052
0,9999246;0,9999246;0,9188052
0,9999246;0,7659315;0,9900193
0,5786001;0,5786001;0,7659315
0,7659315;0,9188052;0,9900193
0,4045874;0,7659315;0,9900193
1;0,7659315;0,9188052
0,9999246;0,7659315;0,9900193
1;0,5786001;0,9188052
0,5786001;0,9900193;0,9188052
0,9999246;0,7659315;0,7659315
0,9999246;0,7659315;0,9188052
1;0,5786001;0,9188052
0,9900193;0,7659315;0,9188052
0,9188052;0,9900193;0,9188052
1;0,9900193;0,9188052
0,9999246;0,5786001;0,9900193
0,9999246;0,9900193;0,9900193
0,4045874;0,9900193;0,9188052
0,5786001;0,7659315;0,9188052
0,9900193;0,9188052;0,9188052
0,9999246;0,7659315;0,9188052
0,9188052;0,5786001;0,7659315
0,9999246;0,7659315;0,9188052
1;0,9900193;0,9900193
0,9999246;0,9900193;0,9900193
0,9999246;0,9188052;0,9188052
1;0,7659315;0,9900193
1;0,9900193;0,9188052
1;0,9188052;0,7659315
0,5786001;0,5786001;0,9900193
0,7659315;0,7659315;0,9900193
0,9188052;0,9900193;0,9188052
1;0,9900193;0,9900193
0,9999246;0,5786001;0,9900193
0,7659315;0,9188052;0,9900193
0,9999246;0,9900193;0,9900193
0,9188052;0,9188052;0,9900193
0,9900193;0,9188052;0,9900193
0,9999246;0,9188052;0,9188052
1;0,9188052;0,9900193
0,9999246;0,9900193;0,9900193
1;0,9188052;0,9900193
0,9999246;0,9188052;0,9188052
0,9900193;0,9188052;0,9900193
0,9999246;0,9900193;0,9900193
0,9900193;0,9900193;0,9900193
0,09707484;0,9900193;0,9900193
0,9999246;0,9188052;0,9188052
1;0,9188052;0,9900193
1;0,9188052;0,9900193
0,9188052;0,7659315;0,9188052
0,9188052;0,9188052;0,9188052
0,1649727;0,9900193;0,9188052
0,9999246;0,9188052;0,9900193
0,09707484;0,9188052;0,9900193
0,9999246;0,7659315;0,9900193
0,9188052;0,7659315;0,9188052
0,5786001;0,9188052;0,9900193
0,4045874;0,9188052;0,9900193
0,2656871;0,7659315;0,9900193
0,9999246;0,7659315;0,9900193
0,2656871;0,9188052;0,9188052
0,9188052;0,7659315;0,9188052
0,9999246;0,7659315;0,9188052
0,4045874;0,7659315;0,9188052
0,9188052;0,9188052;0,9188052
0,7659315;0,9188052;0,9900193
0,7659315;0,7659315;0,9188052
0,9900193;0,9900193;0,9900193
0,9999246;0,7659315;0,9900193
1;0,7659315;0,9188052
0,9999246;0,9188052;0,9188052
0,9999246;0,7659315;0,9188052
1;0,7659315;0,9900193
0,5786001;0,7659315;0,9188052
0,2656871;0,9188052;0,9900193
0,9900193;0,7659315;0,9188052
0,7659315;0,9188052;0,9188052
0,1649727;0,9188052;0,9188052
0,9999246;0,9188052;0,9188052
0,5786001;0,9188052;0,9900193
0,1649727;0,7659315;0,9188052
0,9999246;0,5786001;0,9900193
0,7659315;0,9188052;0,9900193
0,1649727;0,9900193;0,9188052
0,9999246;0,9188052;0,9900193
0,9900193;0,9188052;0,9188052
0,9188052;0,9188052;0,9188052
0,4045874;0,7659315;0,9900193
0,9900193;0,9188052;0,9188052
0,9900193;0,9188052;0,9188052
0,9900193;0,9188052;0,9188052
0,7659315;0,9999246;0,9900193
0,4045874;0,9188052;0,9900193
0,5786001;0,9188052;0,9188052
0,9900193;0,7659315;0,9188052
0,9999246;0,9188052;0,9188052
0,2656871;0,9900193;0,9900193
1;0,9900193;0,9188052
0,7659315;0,9188052;0,9188052
0,01430155;0,9188052;0,9188052
0,9999246;0,9900193;0,9188052
0,9999246;0,9900193;0,9188052
1;0,9188052;0,9188052
0,9999246;0,9900193;0,9188052
0,05414108;0,9900193;0,9900193
0,5786001;0,9188052;0,9900193
0,4045874;0,9999246;0,9188052
0,5786001;0,9188052;0,9188052
0,9900193;0,9900193;0,9188052
0,9999246;0,9900193;0,9188052
0,1649727;0,7659315;0,9188052
1;0,9900193;0,9999246
0,9999246;0,9900193;0,9900193
0,9900193;0,7659315;0,7659315
0,9999246;0,7659315;0,9900193
0,9999246;0,9900193;0,9900193
1;0,9188052;0,9188052
0,1649727;0,7659315;0,9188052
0,5786001;0,9900193;0,9900193
0,9999246;0,9188052;0,9900193
0,9900193;0,9900193;0,9900193
0,05414108;0,9900193;0,9188052
0,2656871;0,9188052;0,9999246
0,05414108;0,9900193;0,7659315
0,9999246;0,9900193;0,9900193
0,9900193;0,9999246;0,9900193
0,5786001;0,9900193;0,9188052
0,2656871;0,7659315;0,9999246
0,05414108;0,9900193;0,9188052
0,05414108;0,9188052;0,9900193
0,9999246;0,9188052;0,7659315
0,9900193;0,9188052;0,9188052
0,02860307;0,9900193;0,9188052
0,09707484;0,9900193;0,9900193
0,09707484;0,9188052;0,9188052
0,05414108;0,9188052;0,9188052
0,7659315;0,7659315;0,9188052
0,9999246;0,9900193;0,7659315
0,9900193;0,9999246;0,9900193
0,02860307;0,9999246;0,9188052
0,4045874;0,9900193;0,9188052
0,05414108;0,9188052;0,7659315
0,2656871;0,9900193;0,9188052
0,9999246;0,9900193;0,9900193
0,5786001;0,9900193;0,7659315
0,9900193;0,9900193;0,7659315
1;0,2656871;0,9188052
0,9999246;0,9900193;0,7659315
1;0,4045874;0,9188052
0,7659315;0,2656871;0,9188052
0,9999246;0,9999246;0,9900193
1;0,9900193;0,9188052
0,9999246;0,1649727;0,9999246
1;0,5786001;0,9188052
0,9900193;0,2656871;0,9900193
0,9999246;0,2656871;0,7659315
0,9188052;0,4045874;0,9900193
1;0,9900193;0,9900193
1;0,4045874;0,9900193
0,7659315;0,2656871;0,9900193
0,9900193;0,4045874;0,9900193
0,9900193;0,9900193;
0,9900193;0,9900193;
0,9188052;0,4045874;
0,9188052;0,9900193;
0,9188052;0,4045874;
0,9900193;0,4045874;
1;0,5786001;
0,9188052;0,9999246;
0,9999246;0,4045874;
1;0,9188052;
0,9999246;0,2656871;
0,9188052;0,4045874;
1;0,7659315;
0,9999246;0,4045874;
0,9900193;0,4045874;
0,9999246;0,9999246;
0,9188052;0,2656871;
0,9188052;0,9900193;
1;0,5786001;
1;0,7659315;
0,9188052;0,4045874;
0,9188052;0,9900193;
0,9188052;0,2656871;
0,9900193;0,1649727;
0,9999246;0,9188052;
0,9900193;0,1649727;
1;0,4045874;
0,9900193;0,9188052;
0,9999246;0,4045874;
0,9999246;0,1649727;
1;0,7659315;
0,9999246;0,2656871;
0,9999246;0,2656871;
1;0,9900193;
